epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3246.12,0.97979,0.58045,1.26755,0.76711,0.66844,0.66125,0.33075,2.01198,1.08323,2.11518,0.0008516,0.0008516,0.0008516
60,3299.82,0.9571,0.56564,1.24828,0.77405,0.68683,0.67142,0.32264,1.98026,1.15264,2.15979,0.0008318,0.0008318,0.0008318
61,3357.32,0.9618,0.55725,1.25341,0.84491,0.69438,0.77268,0.39819,1.80665,1.07674,1.91846,0.000812,0.000812,0.000812
62,3412.47,0.94589,0.56562,1.24486,0.75738,0.6577,0.71164,0.37059,1.88944,1.16789,2.0759,0.0007922,0.0007922,0.0007922
63,3464.85,0.93522,0.54798,1.23083,0.81407,0.71723,0.7785,0.40274,1.86229,0.9873,1.95406,0.0007724,0.0007724,0.0007724
64,3518.7,0.95485,0.55946,1.24057,0.83031,0.66995,0.74076,0.36342,1.86983,1.07607,2.01487,0.0007526,0.0007526,0.0007526
65,3572.55,0.949,0.53682,1.22704,0.84998,0.7335,0.78365,0.40668,1.81128,1.00028,1.90169,0.0007328,0.0007328,0.0007328
66,3626.45,0.92604,0.53271,1.23429,0.77053,0.67323,0.71132,0.36753,1.86208,1.16109,2.03705,0.000713,0.000713,0.000713
67,3681.58,0.92289,0.54962,1.22801,0.79651,0.69438,0.74775,0.37327,1.88301,1.08197,2.01575,0.0006932,0.0006932,0.0006932
68,3736.27,0.91019,0.53931,1.2302,0.83608,0.68589,0.76159,0.37686,1.85395,1.02351,2.00708,0.0006734,0.0006734,0.0006734
69,3788.34,0.90871,0.51663,1.21793,0.84717,0.66504,0.74659,0.39206,1.9127,1.08512,2.07192,0.0006536,0.0006536,0.0006536
70,3840.87,0.90427,0.51322,1.20697,0.80109,0.64989,0.68325,0.33788,1.95354,1.13371,2.22474,0.0006338,0.0006338,0.0006338
71,3895.78,0.90505,0.51221,1.21072,0.77865,0.72372,0.73474,0.37172,1.87713,0.96642,2.06838,0.000614,0.000614,0.000614
72,3949.74,0.8768,0.50134,1.1974,0.83074,0.68704,0.7301,0.38217,1.87388,0.96953,2.13735,0.0005942,0.0005942,0.0005942
73,4007.99,0.87735,0.50829,1.20056,0.83717,0.6788,0.7485,0.37896,1.8557,0.9617,2.02356,0.0005744,0.0005744,0.0005744
74,4061.85,0.87182,0.49885,1.19347,0.80813,0.71149,0.76352,0.39904,1.85054,0.99728,2.04631,0.0005546,0.0005546,0.0005546
